01:02:54 :DuB`off!DuB@66-219-213-203.dynamic.ip.veracitynetworks.com NICK :DuB`
03:11:57 :DuB`!DuB@66-219-213-203.dynamic.ip.veracitynetworks.com NICK :DuB`zZz
03:47:16 :DoT`!~Dot@90.212.118.72 NICK :DoT`-sleeps
04:43:22 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
04:43:28 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
04:48:38 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
04:48:43 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
04:59:13 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
04:59:24 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
05:09:15 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
05:14:55 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
05:43:28 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
05:43:33 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
05:59:28 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
05:59:33 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
06:27:41 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
06:27:47 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
07:07:14 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
07:08:37 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
07:15:29 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
07:18:52 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
07:25:16 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
07:25:22 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
10:00:57 :DoT`-sleeps!~Dot@90.212.118.72 NICK :DoT`
10:35:50 :DoT`!~Dot@90.212.118.72 NICK :DoT`-afk
12:16:09 :DoT`-afk!~Dot@90.212.118.72 NICK :DoT``
13:10:09 :Micen!~Micen@h43.224.30.71.dynamic.ip.windstream.net NICK :Micen|Sleep
17:15:21 :BioClass!~Bio@108-72-8-48.lightspeed.stlsmo.sbcglobal.net NICK :Bio
18:20:01 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
18:20:07 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
19:38:12 :DuB`!~DuB@66-219-213-203.dynamic.ip.veracitynetworks.com NICK :DuB`off
21:37:38 :Micen|Sleep!~Micen@h43.224.30.71.dynamic.ip.windstream.net NICK :Micen
23:26:45 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
23:33:24 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
23:43:44 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
23:57:03 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
